yield_stress,solution_time,x,flow_depth,x_ratio,h_ratio
50,180.0,0.05,3.2361110772,0.0001639344262295082,0.10610200253114754
50,180.0,0.15,3.2360252387,0.0004918032786885246,0.10609918815409836
50,180.0,0.25,3.2359394126,0.000819672131147541,0.10609637418360655
50,180.0,0.35,3.2358536078,0.0011475409836065574,0.10609356091147541
50,180.0,0.45,3.2357678178,0.0014754098360655738,0.10609074812459016
50,180.0,0.55,3.2356820468,0.0018032786885245904,0.10608793596065574
50,180.0,0.65,3.2355962923,0.0021311475409836068,0.10608512433770491
50,180.0,0.75,3.2355105558,0.002459016393442623,0.10608231330491803
50,180.0,0.85,3.2354248363,0.002786885245901639,0.10607950282950819
50,180.0,0.95,3.2353391344,0.0031147540983606555,0.10607669293114755
50,180.0,1.05,3.2352534498,0.0034426229508196723,0.1060738836
50,180.0,1.15,3.2351677827,0.0037704918032786883,0.10607107484262296
50,180.0,1.25,3.2350821329,0.004098360655737705,0.10606826665245903
50,180.0,1.35,3.2349965006,0.004426229508196722,0.10606545903606557
50,180.0,1.45,3.2349108857,0.004754098360655738,0.10606265199016394
50,180.0,1.55,3.2348252882,0.005081967213114754,0.1060598455147541
50,180.0,1.65,3.2347397081,0.00540983606557377,0.10605703960983608
50,180.0,1.75,3.2346541454,0.005737704918032787,0.10605423427540983
50,180.0,1.85,3.2345686001,0.0060655737704918035,0.1060514295114754
50,180.0,1.95,3.2344830722,0.0063934426229508194,0.10604862531803279
50,180.0,2.05,3.2343975617,0.006721311475409835,0.10604582169508196
50,180.0,2.15,3.2343120686,0.007049180327868852,0.10604301864262294
50,180.0,2.25,3.2342265929,0.007377049180327869,0.10604021616065573
50,180.0,2.35,3.2341411346,0.007704918032786886,0.10603741424918034
50,180.0,2.45,3.2340556938,0.008032786885245903,0.10603461291147541
50,180.0,2.55,3.2339702703,0.008360655737704918,0.1060318121409836
50,180.0,2.65,3.2338848642,0.008688524590163935,0.10602901194098362
50,180.0,2.75,3.2337994756,0.009016393442622951,0.1060262123147541
50,180.0,2.85,3.2337141043,0.009344262295081968,0.1060234132557377
50,180.0,2.95,3.2336287504,0.009672131147540983,0.10602061476721311
50,180.0,3.05,3.233543414,0.01,0.10601781685245902
50,180.0,3.15,3.2334580949,0.010327868852459015,0.10601501950491804
50,180.0,3.25,3.2333727933,0.010655737704918032,0.10601222273114755
50,180.0,3.35,3.233287509,0.010983606557377049,0.10600942652459017
50,180.0,3.45,3.2332022422,0.011311475409836066,0.10600663089180327
50,180.0,3.55,3.2331169928,0.011639344262295081,0.10600383582950819
50,180.0,3.65,3.2330317607,0.011967213114754098,0.10600104133442623
50,180.0,3.75,3.2329465461,0.012295081967213115,0.10599824741311475
50,180.0,3.85,3.2328613488,0.012622950819672131,0.1059954540590164
50,180.0,3.95,3.232776169,0.012950819672131148,0.10599266127868853
50,180.0,4.05,3.2326910066,0.013278688524590163,0.10598986906885247
50,180.0,4.15,3.2326058616,0.013606557377049182,0.1059870774295082
50,180.0,4.25,3.2325207339,0.013934426229508197,0.10598428635737704
50,180.0,4.35,3.2324356237,0.014262295081967212,0.10598149585901638
50,180.0,4.45,3.2323505309,0.01459016393442623,0.10597870593114754
50,180.0,4.55,3.2322654554,0.014918032786885246,0.1059759165704918
50,180.0,4.65,3.2321803974,0.015245901639344264,0.10597312778360655
50,180.0,4.75,3.2320953568,0.01557377049180328,0.1059703395672131
50,180.0,4.85,3.2320103336,0.015901639344262294,0.10596755192131148
50,180.0,4.95,3.2319253277,0.016229508196721313,0.10596476484262295
50,180.0,5.05,3.2318403393,0.016557377049180328,0.10596197833770492
50,180.0,5.15,3.2317553683,0.016885245901639347,0.10595919240327868
50,180.0,5.25,3.2316704147,0.01721311475409836,0.10595640703934427
50,180.0,5.35,3.2315854784,0.017540983606557377,0.10595362224262295
50,180.0,5.45,3.2315005596,0.017868852459016395,0.10595083801967213
50,180.0,5.55,3.2314156582,0.01819672131147541,0.10594805436721312
50,180.0,5.65,3.2313307741,0.01852459016393443,0.10594527128196721
50,180.0,5.75,3.2312459075,0.018852459016393444,0.1059424887704918
50,180.0,5.85,3.2311610583,0.01918032786885246,0.1059397068295082
50,180.0,5.95,3.2310762264,0.019508196721311474,0.1059369254557377
50,180.0,6.05,3.230991412,0.019836065573770493,0.1059341446557377
50,180.0,6.15,3.2309066149,0.020163934426229508,0.10593136442295081
50,180.0,6.25,3.2308218353,0.020491803278688523,0.10592858476393442
50,180.0,6.35,3.230737073,0.020819672131147538,0.10592580567213114
50,180.0,6.45,3.2306523282,0.021147540983606557,0.10592302715409836
50,180.0,6.55,3.2305676007,0.021475409836065572,0.1059202492032787
50,180.0,6.65,3.2304828907,0.02180327868852459,0.1059174718262295
50,180.0,6.75,3.230398198,0.022131147540983605,0.10591469501639345
50,180.0,6.85,3.2303135228,0.02245901639344262,0.10591191878032787
50,180.0,6.95,3.2302288649,0.02278688524590164,0.10590914311147541
50,180.0,7.05,3.2301442244,0.023114754098360654,0.10590636801311476
50,180.0,7.15,3.2300596013,0.023442622950819673,0.10590359348524589
50,180.0,7.25,3.2299749957,0.023770491803278688,0.10590081953114755
50,180.0,7.35,3.2298904074,0.024098360655737703,0.10589804614426229
50,180.0,7.45,3.2298058365,0.02442622950819672,0.10589527332786886
50,180.0,7.55,3.229721283,0.024754098360655737,0.10589250108196721
50,180.0,7.65,3.2296367469,0.025081967213114755,0.10588972940655737
50,180.0,7.75,3.2295522282,0.02540983606557377,0.10588695830163936
50,180.0,7.85,3.2294677269,0.025737704918032785,0.1058841877672131
50,180.0,7.95,3.2293832429,0.026065573770491804,0.1058814178
50,180.0,8.05,3.2292987764,0.026393442622950822,0.10587864840655738
50,180.0,8.15,3.2292143273,0.026721311475409838,0.10587587958360654
50,180.0,8.25,3.2291298956,0.027049180327868853,0.10587311133114753
50,180.0,8.35,3.2290454812,0.027377049180327868,0.10587034364590164
50,180.0,8.45,3.2289610843,0.027704918032786883,0.10586757653442623
50,180.0,8.55,3.2288767047,0.028032786885245905,0.10586480999016394
50,180.0,8.65,3.2287923425,0.02836065573770492,0.10586204401639343
50,180.0,8.75,3.2287079978,0.028688524590163935,0.10585927861639344
50,180.0,8.85,3.2286236704,0.02901639344262295,0.10585651378360657
50,180.0,8.95,3.2285393604,0.029344262295081965,0.10585374952131148
50,180.0,9.05,3.2284550678,0.029672131147540987,0.1058509858295082
50,180.0,9.15,3.2283707926,0.030000000000000002,0.10584822270819672
50,180.0,9.25,3.2282865348,0.030327868852459017,0.10584546015737704
50,180.0,9.35,3.2282022943,0.030655737704918033,0.10584269817377048
50,180.0,9.45,3.2281180713,0.030983606557377048,0.10583993676393443
50,180.0,9.55,3.2280338656,0.031311475409836066,0.10583717592131148
50,180.0,9.65,3.2279496774,0.03163934426229508,0.105834415652459
50,180.0,9.75,3.2278655065,0.031967213114754096,0.10583165595081968
50,180.0,9.85,3.2277813531,0.03229508196721311,0.10582889682295082
50,180.0,9.95,3.227697217,0.03262295081967213,0.10582613826229507
50,180.0,10.05,3.2276130983,0.03295081967213115,0.10582338027213115
50,180.0,10.15,3.227528997,0.033278688524590164,0.10582062285245901
50,180.0,10.25,3.227444913,0.03360655737704918,0.105817866
50,180.0,10.35,3.2273608465,0.033934426229508194,0.10581510972131147
50,180.0,10.45,3.2272767974,0.03426229508196721,0.10581235401311476
50,180.0,10.55,3.2271927656,0.03459016393442623,0.10580959887213115
50,180.0,10.65,3.2271087513,0.034918032786885246,0.10580684430491803
50,180.0,10.75,3.2270247543,0.03524590163934426,0.10580409030491802
50,180.0,10.85,3.2269407747,0.035573770491803276,0.10580133687540984
50,180.0,10.95,3.2268568125,0.03590163934426229,0.10579858401639344
50,180.0,11.05,3.2267728677,0.03622950819672131,0.10579583172786884
50,180.0,11.15,3.2266889402,0.03655737704918033,0.10579308000655738
50,180.0,11.25,3.2266050302,0.036885245901639344,0.10579032885901639
50,180.0,11.35,3.2265211375,0.03721311475409836,0.10578757827868852
50,180.0,11.45,3.2264372623,0.037540983606557374,0.10578482827213115
50,180.0,11.55,3.2263534044,0.037868852459016396,0.1057820788327869
50,180.0,11.65,3.2262695639,0.03819672131147541,0.10577932996393442
50,180.0,11.75,3.2261857408,0.038524590163934426,0.10577658166557377
50,180.0,11.85,3.226101935,0.03885245901639344,0.10577383393442623
50,180.0,11.95,3.2260181467,0.039180327868852456,0.10577108677704918
50,180.0,12.05,3.2259343757,0.03950819672131148,0.10576834018688525
50,180.0,12.15,3.2258506221,0.03983606557377049,0.10576559416721311
50,180.0,12.25,3.225766886,0.04016393442622951,0.10576284872131148
50,180.0,12.35,3.2256831671,0.040491803278688523,0.10576010383934427
50,180.0,12.45,3.2255994657,0.04081967213114754,0.10575735953114754
50,180.0,12.55,3.2255157817,0.04114754098360656,0.10575461579344263
50,180.0,12.65,3.225432115,0.041475409836065576,0.10575187262295081
50,180.0,12.75,3.2253484657,0.04180327868852459,0.10574913002295082
50,180.0,12.85,3.2252648338,0.042131147540983606,0.10574638799344262
50,180.0,12.95,3.2251812193,0.04245901639344262,0.10574364653442624
50,180.0,13.05,3.2250976222,0.04278688524590164,0.10574090564590163
50,180.0,13.15,3.2250140424,0.04311475409836066,0.10573816532459016
50,180.0,13.25,3.2249304801,0.04344262295081967,0.10573542557704918
50,180.0,13.35,3.2248469351,0.04377049180327869,0.10573268639672131
50,180.0,13.45,3.2247634075,0.0440983606557377,0.10572994778688524
50,180.0,13.55,3.2246798973,0.044426229508196725,0.10572720974754099
50,180.0,13.65,3.2245964044,0.04475409836065574,0.10572447227540985
50,180.0,13.75,3.2245129289,0.045081967213114756,0.10572173537377048
50,180.0,13.85,3.2244294709,0.04540983606557377,0.10571899904590164
50,180.0,13.95,3.2243460301,0.045737704918032786,0.10571626328196722
50,180.0,14.05,3.2242626068,0.04606557377049181,0.10571352809180327
50,180.0,14.15,3.2241792009,0.04639344262295082,0.10571079347213115
50,180.0,14.25,3.2240958123,0.04672131147540984,0.10570805941967212
50,180.0,14.35,3.2240124411,0.04704918032786885,0.10570532593770493
50,180.0,14.45,3.2239290873,0.04737704918032787,0.10570259302622952
50,180.0,14.55,3.2238457508,0.04770491803278689,0.10569986068196721
50,180.0,14.65,3.2237624318,0.048032786885245905,0.10569712891147541
50,180.0,14.75,3.2236791301,0.04836065573770492,0.10569439770819672
50,180.0,14.85,3.2235958458,0.048688524590163935,0.10569166707540983
50,180.0,14.95,3.2235125789,0.04901639344262295,0.10568893701311476
50,180.0,15.05,3.2234293293,0.04934426229508197,0.10568620751803279
50,180.0,15.15,3.2233460971,0.04967213114754099,0.10568347859344261
50,180.0,15.25,3.2232628823,0.05,0.10568075023934426
50,180.0,15.35,3.2231796849,0.05032786885245902,0.1056780224557377
50,180.0,15.45,3.2230965048,0.05065573770491803,0.10567529523934426
50,180.0,15.55,3.2230133422,0.05098360655737705,0.1056725685967213
50,180.0,15.65,3.2229301969,0.05131147540983607,0.10566984252131148
50,180.0,15.75,3.2228470689,0.051639344262295085,0.10566711701311476
50,180.0,15.85,3.2227639584,0.0519672131147541,0.10566439207868852
50,180.0,15.95,3.2226808652,0.052295081967213115,0.10566166771147541
50,180.0,16.05,3.2225977894,0.05262295081967213,0.1056589439147541
50,180.0,16.15,3.222514731,0.052950819672131146,0.1056562206885246
50,180.0,16.25,3.2224316899,0.05327868852459016,0.1056534980295082
50,180.0,16.35,3.2223486662,0.05360655737704918,0.1056507759409836
50,180.0,16.45,3.2222656599,0.0539344262295082,0.10564805442295082
50,180.0,16.55,3.2221826709,0.05426229508196721,0.10564533347213115
50,180.0,16.65,3.2220996994,0.05459016393442623,0.10564261309508197
50,180.0,16.75,3.2220167452,0.05491803278688524,0.1056398932852459
50,180.0,16.85,3.2219338083,0.055245901639344265,0.10563717404262296
50,180.0,16.95,3.2218508889,0.05557377049180327,0.1056344553737705
50,180.0,17.05,3.2217679868,0.055901639344262295,0.10563173727213115
50,180.0,17.15,3.221685102,0.0562295081967213,0.10562901973770492
50,180.0,17.25,3.2216022347,0.056557377049180325,0.10562630277704918
50,180.0,17.35,3.2215193847,0.05688524590163935,0.10562358638360655
50,180.0,17.45,3.2214365521,0.057213114754098356,0.10562087056065574
50,180.0,17.55,3.2213537368,0.05754098360655738,0.10561815530491803
50,180.0,17.65,3.221270939,0.057868852459016386,0.10561544062295082
50,180.0,17.75,3.2211881585,0.05819672131147541,0.10561272650819672
50,180.0,17.85,3.2211053953,0.05852459016393443,0.10561001296065574
50,180.0,17.95,3.2210226495,0.05885245901639344,0.10560729998360656
50,180.0,18.05,3.2209399211,0.05918032786885246,0.10560458757704917
50,180.0,18.15,3.2208572101,0.05950819672131147,0.1056018757409836
50,180.0,18.25,3.2207745164,0.05983606557377049,0.10559916447213115
50,180.0,18.35,3.2206918401,0.06016393442622951,0.1055964537737705
50,180.0,18.45,3.2206091812,0.06049180327868852,0.10559374364590164
50,180.0,18.55,3.2205265396,0.06081967213114754,0.1055910340852459
50,180.0,18.65,3.2204439154,0.06114754098360655,0.10558832509508197
50,180.0,18.75,3.2203613085,0.06147540983606557,0.10558561667213114
50,180.0,18.85,3.220278719,0.061803278688524595,0.10558290881967212
50,180.0,18.95,3.2201961469,0.0621311475409836,0.1055802015377049
50,180.0,19.05,3.2201135922,0.062459016393442625,0.10557749482622951
50,180.0,19.15,3.2200310548,0.06278688524590163,0.10557478868196722
50,180.0,19.25,3.2199485347,0.06311475409836066,0.10557208310491803
50,180.0,19.35,3.2198660321,0.06344262295081968,0.10556937810163934
50,180.0,19.45,3.2197835468,0.06377049180327869,0.10556667366557378
50,180.0,19.55,3.2197010788,0.06409836065573771,0.10556396979672131
50,180.0,19.65,3.2196186282,0.06442622950819672,0.10556126649836066
50,180.0,19.75,3.219536195,0.06475409836065574,0.1055585637704918
50,180.0,19.85,3.2194537792,0.06508196721311475,0.10555586161311475
50,180.0,19.95,3.2193713807,0.06540983606557377,0.10555316002295083
50,180.0,20.05,3.2192889995,0.06573770491803278,0.105550459
50,180.0,20.15,3.2192066357,0.0660655737704918,0.10554775854754098
50,180.0,20.25,3.2191242893,0.06639344262295081,0.10554505866557376
50,180.0,20.35,3.2190419603,0.06672131147540984,0.10554235935409835
50,180.0,20.45,3.2189596486,0.06704918032786886,0.10553966060983606
50,180.0,20.55,3.2188773542,0.06737704918032787,0.10553696243278689
50,180.0,20.65,3.2187950772,0.06770491803278689,0.1055342648262295
50,180.0,20.75,3.2187128176,0.0680327868852459,0.10553156779016394
50,180.0,20.85,3.2186305754,0.06836065573770492,0.10552887132459017
50,180.0,20.95,3.2185483504,0.06868852459016393,0.10552617542295081
50,180.0,21.05,3.2184661429,0.06901639344262295,0.10552348009508197
50,180.0,21.15,3.2183839527,0.06934426229508196,0.10552078533442623
50,180.0,21.25,3.2183017799,0.06967213114754098,0.10551809114426229
50,180.0,21.35,3.2182196244,0.07,0.10551539752131148
50,180.0,21.45,3.2181374862,0.07032786885245901,0.10551270446557376
50,180.0,21.55,3.2180553655,0.07065573770491804,0.10551001198360656
50,180.0,21.65,3.217973262,0.07098360655737704,0.10550732006557377
50,180.0,21.75,3.217891176,0.07131147540983607,0.10550462872131149
50,180.0,21.85,3.2178091073,0.07163934426229508,0.1055019379442623
50,180.0,21.95,3.2177270559,0.0719672131147541,0.10549924773442623
50,180.0,22.05,3.2176450219,0.07229508196721311,0.10549655809508197
50,180.0,22.15,3.2175630053,0.07262295081967213,0.10549386902622951
50,180.0,22.25,3.217481006,0.07295081967213114,0.10549118052459015
50,180.0,22.35,3.217399024,0.07327868852459017,0.10548849259016393
50,180.0,22.45,3.2173170594,0.07360655737704917,0.10548580522622951
50,180.0,22.55,3.2172351122,0.0739344262295082,0.10548311843278689
50,180.0,22.65,3.2171531823,0.0742622950819672,0.10548043220655738
50,180.0,22.75,3.2170712697,0.07459016393442623,0.10547774654754098
50,180.0,22.85,3.2169893745,0.07491803278688525,0.1054750614590164
50,180.0,22.95,3.2169074967,0.07524590163934426,0.10547237694098362
50,180.0,23.05,3.2168256362,0.07557377049180328,0.10546969299016393
50,180.0,23.15,3.2167437931,0.07590163934426229,0.10546700960983607
50,180.0,23.25,3.2166619673,0.07622950819672131,0.10546432679672131
50,180.0,23.35,3.2165801588,0.07655737704918034,0.10546164455081966
50,180.0,23.45,3.2164983677,0.07688524590163934,0.10545896287540983
50,180.0,23.55,3.216416594,0.07721311475409837,0.10545628177049181
50,180.0,23.65,3.2163348376,0.07754098360655737,0.10545360123278688
50,180.0,23.75,3.2162530985,0.0778688524590164,0.10545092126229509
50,180.0,23.85,3.2161713768,0.07819672131147541,0.1054482418622951
50,180.0,23.95,3.2160896724,0.07852459016393443,0.1054455630295082
50,180.0,24.05,3.2160079854,0.07885245901639344,0.10544288476721311
50,180.0,24.15,3.2159263157,0.07918032786885246,0.10544020707213114
50,180.0,24.25,3.2158446634,0.07950819672131147,0.10543752994754098
50,180.0,24.35,3.2157630284,0.0798360655737705,0.10543485339016394
50,180.0,24.45,3.2156814108,0.0801639344262295,0.10543217740327868
50,180.0,24.55,3.2155998105,0.08049180327868853,0.10542950198360657
50,180.0,24.65,3.2155182275,0.08081967213114753,0.10542682713114754
50,180.0,24.75,3.2154366619,0.08114754098360656,0.10542415284918033
50,180.0,24.85,3.2153551137,0.08147540983606558,0.10542147913770492
50,180.0,24.95,3.2152735827,0.08180327868852459,0.10541880599016394
50,180.0,25.05,3.2151920691,0.0821311475409836,0.10541613341311476
50,180.0,25.15,3.2151105729,0.08245901639344262,0.10541346140655737
50,180.0,25.25,3.215029094,0.08278688524590164,0.10541078996721312
50,180.0,25.35,3.2149476324,0.08311475409836067,0.10540811909508196
50,180.0,25.45,3.2148661882,0.08344262295081967,0.10540544879344262
50,180.0,25.55,3.2147847613,0.0837704918032787,0.10540277905901639
50,180.0,25.65,3.2147033518,0.0840983606557377,0.10540010989508196
50,180.0,25.75,3.2146219596,0.08442622950819673,0.10539744129836066
50,180.0,25.85,3.2145405847,0.08475409836065574,0.10539477326885245
50,180.0,25.95,3.2144592272,0.08508196721311476,0.10539210580983606
50,180.0,26.05,3.214377887,0.08540983606557377,0.10538943891803279
50,180.0,26.15,3.2142965642,0.08573770491803279,0.10538677259672131
50,180.0,26.25,3.2142152586,0.0860655737704918,0.10538410683934427
50,180.0,26.35,3.2141339705,0.08639344262295083,0.10538144165573769
50,180.0,26.45,3.2140526996,0.08672131147540983,0.10537877703606557
50,180.0,26.55,3.2139714461,0.08704918032786886,0.10537611298688525
50,180.0,26.65,3.2138902099,0.08737704918032786,0.10537344950491803
50,180.0,26.75,3.2138089911,0.08770491803278689,0.10537078659344262
50,180.0,26.85,3.2137277896,0.0880327868852459,0.10536812424918032
50,180.0,26.95,3.2136466054,0.08836065573770492,0.10536546247213115
50,180.0,27.05,3.2135654386,0.08868852459016394,0.10536280126557376
50,180.0,27.15,3.2134842891,0.08901639344262295,0.10536014062622952
50,180.0,27.25,3.2134031569,0.08934426229508197,0.10535748055409837
50,180.0,27.35,3.2133220421,0.08967213114754098,0.10535482105245902
